12 13 27 True False
TypOrganizmu.GUARANA 11 11 0 5 False
TypOrganizmu.TRAWA 5 0 0 5 False
TypOrganizmu.TRAWA 0 5 0 5 False
TypOrganizmu.GUARANA 10 11 0 5 False
TypOrganizmu.GUARANA 4 12 0 5 False
TypOrganizmu.TRAWA 6 0 0 5 False
TypOrganizmu.TRAWA 3 4 0 5 False
TypOrganizmu.TRAWA 6 5 0 5 False
TypOrganizmu.TRAWA 1 2 0 5 False
TypOrganizmu.TRAWA 3 9 0 4 False
TypOrganizmu.GUARANA 9 4 0 4 False
TypOrganizmu.TRAWA 0 11 0 4 False
TypOrganizmu.TRAWA 1 4 0 4 False
TypOrganizmu.TRAWA 3 8 0 4 False
TypOrganizmu.TRAWA 5 1 0 4 False
TypOrganizmu.GUARANA 9 6 0 4 False
TypOrganizmu.TRAWA 0 6 0 4 False
TypOrganizmu.GUARANA 9 0 0 4 False
TypOrganizmu.GUARANA 10 8 0 4 False
TypOrganizmu.GUARANA 10 5 0 4 False
TypOrganizmu.TRAWA 6 1 0 4 False
TypOrganizmu.GUARANA 11 2 0 4 False
TypOrganizmu.MLECZ 7 0 0 4 False
TypOrganizmu.TRAWA 2 9 0 3 False
TypOrganizmu.TRAWA 0 10 0 3 False
TypOrganizmu.TRAWA 0 4 0 3 False
TypOrganizmu.TRAWA 7 2 0 3 False
TypOrganizmu.TRAWA 2 8 0 3 False
TypOrganizmu.GUARANA 10 6 0 3 False
TypOrganizmu.TRAWA 0 7 0 3 False
TypOrganizmu.GUARANA 1 0 0 2 False
TypOrganizmu.GUARANA 11 5 0 2 False
TypOrganizmu.TRAWA 0 9 0 2 False
TypOrganizmu.TRAWA 0 3 0 2 False
TypOrganizmu.GUARANA 9 10 0 2 False
TypOrganizmu.GUARANA 0 0 0 1 False
TypOrganizmu.GUARANA 11 6 0 1 False
TypOrganizmu.WILCZE_JAGODY 6 8 99 0 False
TypOrganizmu.TRAWA 0 8 0 0 False
TypOrganizmu.WILCZE_JAGODY 10 0 99 0 False
TypOrganizmu.TRAWA 0 2 0 0 False
TypOrganizmu.WILCZE_JAGODY 1 3 99 0 False
TypOrganizmu.MLECZ 7 1 0 0 False
TypOrganizmu.GUARANA 0 1 0 0 False
TypOrganizmu.LIS 10 4 3 27 False
TypOrganizmu.GUARANA 8 9 0 27 False
TypOrganizmu.TRAWA 1 9 0 27 False
TypOrganizmu.GUARANA 8 12 0 27 False
TypOrganizmu.TRAWA 3 7 0 27 False
